date,bpm,location,calendar_event,people,mood,period,zone,sighes,laughs,speech,notes,photo
12/4/2012 9:00,6.5,Home,Shower,Alone,#FAED23-1,Morning,Calm,0,0,0,,
12/4/2012 9:05,6.166666667,Home,Shower,Alone,,Morning,Calm,1,0,0,,
12/4/2012 9:10,5.166666667,Home,Shower,Alone,,Morning,Calm,1,0,0,,
12/4/2012 9:15,5.166666667,Home,Breakfast,Alone,#BAD76C-4,Morning,Calm,1,0,0,,
12/4/2012 9:20,7.166666667,Home,Breakfast,Alone,,Morning,Calm,0,0,0,,
12/4/2012 9:25,7.166666667,Home,Breakfast,Alone,,Morning,Calm,1,0,0,,
12/4/2012 9:30,5.5,Home,Breakfast,Alone,,Morning,Calm,1,0,2,,
12/4/2012 9:35,4.616666667,Car,Driving,Alone,,Morning,Calm,0,0,0,,
12/4/2012 9:40,5.366666667,Car,Driving,Alone,,Morning,Calm,0,0,1,,
12/4/2012 9:45,8.266666667,Car,Driving,Alone,,Morning,Normal,1,0,2,,
12/4/2012 9:50,8.316666667,Car,Driving,Alone,,Morning,Normal,0,0,3,,
12/4/2012 9:55,9.466666667,Car,Driving,Alone,,Morning,Normal,1,0,0,,
12/4/2012 10:00,7.666666667,Work,Computer,Co-workers,,Morning,Calm,0,0,4,,
12/4/2012 10:05,8.133333333,Work,Computer,Co-workers,,Morning,Normal,1,0,3,,
12/4/2012 10:10,9.933333333,Work,Computer,Co-workers,,Morning,Normal,1,0,3,,
12/4/2012 10:15,11.06666667,Work,Computer,Co-workers,,Morning,Normal,0,0,2,,
12/4/2012 10:20,10.86666667,Work,Meeting,Boss,#8CC63E-2,Morning,Normal,0,0,2,,
12/4/2012 10:25,10.46666667,Work,Meeting,Boss,,Morning,Normal,0,0,2,,
12/4/2012 10:30,9.4,Work,Meeting,Boss,,Morning,Normal,0,0,0,,
12/4/2012 10:35,8.133333333,Work,Meeting,Boss,,Morning,Normal,0,0,3,,
12/4/2012 10:40,6.533333333,Work,Meeting,Boss,,Morning,Calm,0,0,2,,
12/4/2012 10:45,7.283333333,Work,Meeting,Boss,,Morning,Calm,1,0,2,,
12/4/2012 10:50,7.666666667,Work,Meeting,Boss,,Morning,Calm,2,0,0,,
12/4/2012 10:55,7.916666667,Work,Meeting,Boss,,Morning,Calm,0,0,1,,
12/4/2012 11:00,8.15,Work,Computer,Alone,#529742-2,Morning,Normal,0,0,0,,
12/4/2012 11:05,9.9,Work,Computer,Alone,,Morning,Normal,1,0,1,,
12/4/2012 11:10,10.65,Work,Computer,Alone,,Morning,Normal,3,0,1,,
12/4/2012 11:15,9.4,Work,Computer,Alone,,Morning,Normal,2,0,0,,
12/4/2012 11:20,8.6,Work,Computer,Alone,,Morning,Normal,3,0,1,,
12/4/2012 11:25,7.35,Work,Computer,Alone,,Morning,Calm,3,0,0,,
12/4/2012 11:30,7.1,Work,Computer,Alone,,Morning,Calm,3,0,0,,
12/4/2012 11:35,7,Work,Computer,Alone,,Morning,Calm,3,0,1,,
12/4/2012 11:40,9.083333333,Work,Computer,Alone,,Morning,Normal,1,0,1,,
12/4/2012 11:45,11.51666667,Work,Computer,Alone,,Morning,Normal,1,0,1,,
12/4/2012 11:50,12.86666667,Work,Computer,Alone,,Morning,Normal,2,0,0,,
12/4/2012 11:55,11.25,Work,Computer,Alone,,Morning,Normal,0,2,0,,
12/4/2012 12:00,9.75,Restaurant,Lunch,Co-workers,#F79635-3,Afternoon,Normal,1,4,1,,
12/4/2012 12:05,9.766666667,Restaurant,Lunch,Co-workers,,Afternoon,Normal,1,4,2,,
12/4/2012 12:10,11.5,Restaurant,Lunch,Co-workers,,Afternoon,Normal,0,4,2,,
12/4/2012 12:15,14.46666667,Restaurant,Lunch,Co-workers,,Afternoon,Normal,0,4,3,,
12/4/2012 12:20,15.18333333,Restaurant,Lunch,Co-workers,,Afternoon,Normal,1,5,1,,
12/4/2012 12:25,14.76666667,Restaurant,Lunch,Co-workers,,Afternoon,Normal,1,5,2,,http://globalassets.starbucks.com/assets/960b83c436e34f5ea4a1e5c7e6d5191e.jpg/
12/4/2012 12:30,14.95,Restaurant,Lunch,Co-workers,,Afternoon,Normal,0,5,0,,
12/4/2012 12:35,16.43333333,Restaurant,Lunch,Co-workers,,Afternoon,Normal,1,4,4,,
12/4/2012 12:40,16.03333333,Restaurant,Lunch,Co-workers,,Afternoon,Normal,1,1,2,,
12/4/2012 12:45,14.2,Restaurant,Lunch,Co-workers,,Afternoon,Normal,1,3,4,,
12/4/2012 12:50,13.6,Restaurant,Lunch,Co-workers,,Afternoon,Normal,0,3,0,,
12/4/2012 12:55,14.56666667,Restaurant,Lunch,Co-workers,,Afternoon,Normal,1,0,1,,
12/4/2012 13:00,14.76666667,Work,Computer,Alone,#FAED23-3,Afternoon,Normal,1,0,0,,
12/4/2012 13:05,14.4,Work,Computer,Alone,,Afternoon,Normal,0,0,0,,
12/4/2012 13:10,15.16666667,Work,Computer,Alone,,Afternoon,Normal,2,0,0,,
12/4/2012 13:15,17.43333333,Work,Computer,Alone,,Afternoon,Normal,0,0,0,,
12/4/2012 13:20,17.76666667,Work,Computer,Alone,,Afternoon,Elevated,1,0,0,,
12/4/2012 13:25,17.86666667,Work,Computer,Alone,#BAD76C-2,Afternoon,Elevated,0,0,0,,
12/4/2012 13:30,17.5,Work,Computer,Alone,,Afternoon,Normal,0,0,3,,
12/4/2012 13:35,17.66666667,Cafe,Coffee Break,Co-workers,,Afternoon,Elevated,1,3,1,,
12/4/2012 13:40,17.9,Cafe,Coffee Break,Co-workers,,Afternoon,Elevated,1,4,5,,
