date,bpm,location,calendar_event,people,mood,period,zone,sighes,laughs,speech,notes,photo
12/4/2012 9:00,9.166666667,Dorm,Sleep,Alone,#FAED23-1,Morning,Normal,0,0,0,,
12/4/2012 9:05,10.16666667,Dorm,Sleep,Alone,,Morning,Normal,1,0,0,,
12/4/2012 9:10,9.833333333,Dorm,Sleep,Alone,,Morning,Normal,1,0,0,,
12/4/2012 9:15,11.5,Dorm,Sleep,Alone,#BAD76C-4,Morning,Normal,1,0,0,,
12/4/2012 9:20,9.833333333,Dorm,Sleep,Alone,,Morning,Normal,0,0,0,,
12/4/2012 9:25,7.166666667,Dorm,Sleep,Alone,,Morning,Calm,1,0,0,,
12/4/2012 9:30,4.5,Dorm,Sleep,Alone,,Morning,Calm,1,0,2,,
12/4/2012 9:35,4.116666667,Dorm,Sleep,Alone,,Morning,Calm,0,0,0,,
12/4/2012 9:40,5.433333333,Dorm,Sleep,Alone,,Morning,Calm,0,0,1,,
12/4/2012 9:45,6.933333333,Dorm,Sleep,Alone,,Morning,Calm,1,0,2,,
12/4/2012 9:50,8.816666667,Dorm,Sleep,Alone,,Morning,Normal,0,0,3,,
12/4/2012 9:55,9.733333333,Dorm,Sleep,Alone,,Morning,Normal,1,0,0,,
12/4/2012 10:00,9.933333333,Biking,Biking,Alone,,Morning,Normal,0,0,4,,
12/4/2012 10:05,10.66666667,Biking,Biking,Alone,,Morning,Normal,1,0,3,,
12/4/2012 10:10,10.66666667,Biking,Biking,Alone,,Morning,Normal,1,0,3,,
12/4/2012 10:15,9.466666667,Biking,Biking,Alone,,Morning,Normal,0,0,2,,
12/4/2012 10:20,8.133333333,Lecture Hall,Lecture,Classmates,#8CC63E-2,Morning,Normal,0,0,2,,
12/4/2012 10:25,9.133333333,Lecture Hall,Lecture,Classmates,,Morning,Normal,0,0,2,,
12/4/2012 10:30,11.86666667,Lecture Hall,Lecture,Classmates,,Morning,Normal,0,0,0,,
12/4/2012 10:35,13,Lecture Hall,Lecture,Classmates,,Morning,Normal,0,0,3,,
12/4/2012 10:40,12.4,Lecture Hall,Lecture,Classmates,,Morning,Normal,0,0,2,,
12/4/2012 10:45,9.316666667,Lecture Hall,Lecture,Classmates,,Morning,Normal,1,0,2,,
12/4/2012 10:50,6.466666667,Lecture Hall,Lecture,Classmates,,Morning,Calm,2,0,0,,
12/4/2012 10:55,5.65,Lecture Hall,Lecture,Classmates,,Morning,Calm,0,0,1,,
12/4/2012 11:00,5.416666667,Lecture Hall,Lecture,Classmates,#529742-2,Morning,Calm,0,0,0,,
12/4/2012 11:05,8.6,Lecture Hall,Lecture,Classmates,,Morning,Normal,1,0,1,,
12/4/2012 11:10,8.35,Lecture Hall,Lecture,Classmates,,Morning,Normal,3,0,1,,
12/4/2012 11:15,10,Lecture Hall,Lecture,Classmates,,Morning,Normal,2,0,0,,
12/4/2012 11:20,6.933333333,Lecture Hall,Lecture,Classmates,,Morning,Calm,3,0,1,,
12/4/2012 11:25,7.683333333,Lecture Hall,Lecture,Classmates,,Morning,Normal,3,0,0,,
12/4/2012 11:30,6.766666667,Lecture Hall,Lecture,Classmates,,Morning,Calm,3,0,0,,
12/4/2012 11:35,7.666666667,Lecture Hall,Lecture,Classmates,,Morning,Normal,3,0,1,,
12/4/2012 11:40,7.55,Lecture Hall,Lecture,Classmates,,Morning,Normal,1,0,1,,
12/4/2012 11:45,9.316666667,Lecture Hall,Lecture,Classmates,,Morning,Normal,1,0,1,,
12/4/2012 11:50,9.366666667,Lecture Hall,Lecture,Classmates,,Morning,Normal,2,0,0,,
12/4/2012 11:55,10.08333333,Lecture Hall,Lecture,Classmates,,Morning,Normal,0,2,0,,
12/4/2012 12:00,11.91666667,Dining Hall,Lunch,Friends,#F79635-3,Afternoon,Normal,1,4,1,,
12/4/2012 12:05,12.7,Dining Hall,Lunch,Friends,,Afternoon,Normal,1,4,2,,
12/4/2012 12:10,13.03333333,Dining Hall,Lunch,Friends,,Afternoon,Normal,0,4,2,,
12/4/2012 12:15,11.36666667,Dining Hall,Lunch,Friends,,Afternoon,Normal,0,4,3,,
12/4/2012 12:20,11.08333333,Dining Hall,Lunch,Friends,,Afternoon,Normal,1,5,1,,
12/4/2012 12:25,12.73333333,Dining Hall,Lunch,Friends,,Afternoon,Normal,1,5,2,,http://globalassets.starbucks.com/assets/960b83c436e34f5ea4a1e5c7e6d5191e.jpg
